objectid,filename,compound,title,author,illustrator,date,subject,location,description,format
mcs_01,books_01.jpg,books_02.jpg,Magic Tree House #46: Dogs in the dead of night,Mary Pope Osborne,Sal Murdocca,2011,magic; dogs; saint bernard,long ago in the swiss alps,They are really fun and exiting!,image/jpeg
mcs_02,books_03.jpg,,Dog Man,Dav Pilkey,Jose Garbel,2021,dog human,united states,Its a comic book,image/jpeg
mcs_03,books_04.jpg,books_05.jpg,Dog Man,Dav Pilkey,,2018,tough times,a city,it is funny,image/jpeg
mcs_04,books_06.jpg,books_07.jpg,Magic Tree House,Mary Pope Osborne,Sal Murdocca,,knights; castles,europe,,image/jpeg
mcs_05,books_08.jpg,books_09.jpg,Amelia Bedelia,Herman Parish,Lynne Avril,2013,road trip,on the road,because there are different things that happen! it is so cool!,image/jpeg
mcs_06,books_10.jpg,,The Magic School Bus: in the haunted museum ,Linda Beech,,1995,sound,haunted museum,because it helps you learn,image/jpeg
mcs_07,books_11.jpg,,Awesome Friendly Adventure,Jeff Kinney,Jeff Kinney,2020,adventure,a village,it's interesting,image/jpeg
mcs_08,books_12.jpg,,The Secrets of Droom (series),Tony Abbot,,2000,magic,Droon,because it has magic,image/jpeg
mcs_09,books_13.jpg,books_14.jpg,Dog Man: Mothering height,Dav Pilkey,Dav Pilkey,2021,danger,downtown,because dogman gets a baby,image/jpeg
mcs_10,books_15.jpg,books_16.jpg,Dog Man: Unleashed,Dav Pilkey,,2017,dog man,a city,"It has action, drama, and best of all Dog Man",image/jpeg
mcs_11,books_17.jpg,,Dog Man,Dav Pilkey,Dav Pilkey,2017,dog man; human with a dog head,a city,It is funny,image/jpeg
mcs_12,books_18.jpg,books_19.jpg,A Series of Unfortunate Events,Lemony Snicket,Brett Helgaist,2006,orphan,the sea,it is the most interesting book in all of history,image/jpeg
mcs_13,books_20.jpg,books_21.jpg,Dog Man,Dav Pilkey,Dav Pilkey,2016,man that has a dog head,,Because it is funny.,image/jpeg
mcs_14,books_22.jpg,,Abe Lincoln Remembers,Ann Turner,Wendell Minor,2001,Abe Lincoln,America,,image/jpeg
mcs_15,books_23.jpg,books_24.jpg,Mummy,James Putman,Peter Chrisp,1992,mummies,Ancient Egypt,because its about history,image/jpeg
mcs_16,books_25.jpg,,Dog Man: Grime and Punishment,Dav Pilkey,Jose Garibaldi,2020,could a cat headed cop replace dog man,China,,image/jpeg